seed,family,g_minus,g_plus,E_abs,prominence,real_pvp,null_pvp,delta_pvp,real_pvq2,null_pvq2,delta_pvq2,real_sigma,null_sigma,delta_sigma,real_gap,null_gap,delta_gap,real_pvq2_over_gap,null_pvq2_over_gap,delta_pvq2_over_gap,real_sigma_over_gap,null_sigma_over_gap,delta_sigma_over_gap,real_pvq2_asym,null_pvq2_asym,real_sigma_asym,null_sigma_asym,local_real_pvq2,local_real_sigma,local_real_gap,local_delta_pvq2,local_delta_sigma,local_delta_gap,coherence_obs,coherence_rand_mean,coherence_rand_std,coherence_excess,coherence_z,coherence_rand_p_ge
25042006,dephasing,31,32,0.35772338953875804,-0.25924472882938815,2.600542654054314e-15,0.33542309855308583,-0.3354230985530832,5.337527689125604,5.140542743587796,0.19698494553780854,1.7288489524335693,8.26449883755607,-6.535649885122501,0.04107719794060305,0.0007095314497304883,0.04036766649087256,129.93894317824652,7244.982228117447,-7115.043284939201,42.087801483768594,11647.825957109153,-11605.738155625384,1.8864784016692226e-05,0.1692949236711181,2.2662743816237452e-05,2.807623964214784,3.552713678800501e-15,-2.3934897130764146,-1.6653345369377348e-16,0.026943879284900163,0.8404291077089034,0.00017480758301943733,0.2843966281858271,0.21119446073836662,0.034245960171979256,0.07320216744746046,2.1650359147827345,0.034653465346534656
25042006,dephasing,30,33,0.3988005874793617,0.07840321767799778,4.459162022578338e-15,0.3034345873722998,-0.30343458737229534,5.337527689125601,5.167486622872692,0.17004106625290838,4.122338665509984,11.498417658341388,-7.376078992831404,0.041077197940603216,0.0008843390327500922,0.040192858907853124,129.9389431782459,5843.332061011703,-5713.393117833458,100.3558877475236,13002.273146967107,-12901.917259219583,6.578582064875604e-06,0.34427072537759074,3.211373712108667e-05,13.123001895879128,-3.552713678800501e-15,1.122464801656129,-0.016415739566341847,-0.019279936932123043,-1.909822025017336,-0.016309943122498297,0.3831757035738179,0.33729896116292346,0.014790357853309807,0.04587674241089451,3.1040131536345097,0.01485148514851485
25042006,dephasing,29,34,0.5338614542571807,0.44957155556610884,4.049880488329718e-15,0.32513219516591163,-0.3251321951659076,5.337527689125604,5.15587062829335,0.1816570608322543,4.270898775274141,8.667762825779777,-4.396864050505636,0.07390867707328708,0.001270739503456797,0.07263793756983028,72.21787617484978,4057.3780969803943,-3985.1602208055447,57.78616184726405,6821.03830265828,-6763.252140811016,5.171002854442719e-05,0.2770924344167405,9.851331246313322e-05,2.588937702870685,1.7763568394002505e-15,1.3190720583656663,0.028650502717651155,0.12768081380862473,2.9728039760645686,0.030061785345273734,0.36011341633025,0.31455200608290945,0.027640741392317418,0.04556141024734059,1.6563969958473566,0.039603960396039604
25042006,dephasing,28,35,0.607770131330468,0.2559391207230249,9.757860634312112e-15,0.24842689214905575,-0.24842689214904598,5.337527689125604,5.3996162613312535,-0.06208857220564923,1.7813147683069643,9.14457182861597,-7.363257060309005,0.04943915077066863,0.004479705229408659,0.04495944554125997,107.96155690223273,1205.3507953790136,-1097.3892384767807,36.03044834992973,2041.3333825143432,-2005.3029341644135,0.00013681896489092793,0.3539975903269097,5.3631565832157335e-05,6.798466260964981,0.0,-0.7946692671419728,-0.010986842411062209,-0.11285053498945263,-3.9902042638440682,-0.012931178047485836,0.2859262775156196,0.20808246304872774,0.021626764855030997,0.0778438144668919,3.6017127770071036,0.01485148514851485
25042006,dephasing,27,36,0.6572092821011378,0.11970553571843268,1.0517064187387134e-14,0.2935443719170496,-0.2935443719170391,5.337527689125604,5.417660824390252,-0.08013313526464749,0.881069295623734,3.2303108380479713,-2.349241542424237,0.046943309290174595,0.0037999996825132665,0.04314330960766133,113.7015640744946,1425.7003360608408,-1311.9987719863461,18.768793869590805,850.0818705099177,-831.3130766403269,7.756492197064091e-05,0.24232979204505245,0.00015564157621661412,0.7929106758322897,4.440892098500626e-15,-0.16199802238027372,-0.0012479207402468218,0.009786468555049499,4.200824919578773,-0.0016648798063984283,0.13800994009293088,0.20214468573253033,0.019469505291957595,-0.06413474563959945,-3.3012808880578284,1.0
25042006,dephasing,26,37,0.7041525913913126,-0.05040636879884622,2.2595266097937784e-15,0.2752359748149163,-0.275235974814914,5.337527689125595,5.45527832455934,-0.11775063543374475,0.3048198677010512,6.041695731398067,-5.736875863697016,0.04694330929017421,0.0022863760033146607,0.044656933286859546,113.70156407449535,2385.993518411049,-2272.2919543365538,6.49336129706675,2642.476881597407,-2635.9835203003404,7.689226008178451e-05,0.49713820094646444,0.0001853905063363137,0.7562004192125364,-1.865174681370263e-14,-0.4818767986017989,0.021489211741188924,-0.05699391395418907,3.8718063876730575,0.021138090937252885,0.07170787587008343,0.10845800558232185,0.022534759259938145,-0.03675012971223843,-1.6327214451140646,0.9851485148514851
25042006,dephasing,25,38,0.8981618524016892,-0.5264517759070934,2.693651843689621e-14,0.23796450931750177,-0.23796450931747484,5.337527689125624,5.378907996820088,-0.04138030769446388,0.6923240369819662,17.560446997297873,-16.868122960315908,0.00396488580779597,7.051071624397665e-05,0.0038943750915519937,1346.1996001576367,76284.97175107875,-74938.77215092111,174.61386545374944,249046.4986419418,-248871.88477648806,0.00679005272433475,0.5185845524170078,0.0029693903714091974,16.259351098675214,3.4638958368304884e-14,-0.09315358603562751,-0.021489211741189118,-0.16957289791721086,-7.396040057378876,-0.020249200701595527,0.07584177390467567,0.22018467869950487,0.036478099567685586,-0.1443429047948292,-4.00238994320654,1.0
25042006,dephasing,24,39,0.9021267382094852,-0.32373578461627883,2.6663343943499246e-14,0.21250417985364184,-0.21250417985361517,5.337527689125583,4.963391873246344,0.3741358158792387,1.2661353783341363,14.473425320511186,-13.20728994217705,0.00396488580779597,0.00033466750836047554,0.003630218299435495,1346.1996001576265,14830.814911079442,-13484.615310921816,319.3371611975793,43247.17804670072,-42927.84088550314,0.006689446515700581,0.3005784636148574,0.0032305926705389343,11.50506296269206,-3.019806626980426e-14,0.7229305873514292,-0.03357326662544796,0.3837518136644573,-0.7831767895573272,-0.032461785449753144,0.17119005135226098,0.23758340582758203,0.018484120030411298,-0.06639335447532105,-3.593288126862797,1.0
25042006,dephasing,23,40,1.070934903115721,-0.030987566274513115,2.713704668081954e-15,0.24537109710772786,-0.24537109710772514,5.337527689125602,5.315379377001575,0.02214831212402668,0.39408554498344783,8.374188889906986,-7.9801033449235375,0.0711114190586919,0.002821786651866609,0.06828963240682528,75.05865808584507,1883.6928629899985,-1808.6342049041534,5.5418039774763725,2967.6903051360982,-2962.148501158622,0.00025033524782536176,0.13848390446081016,9.132351101032166e-05,4.46241510285221,7.993605777301127e-15,-0.9914830143645749,0.04108571475111461,-0.21145782902376142,-0.6683370985088741,0.04164307840210882,0.08214604832814942,0.12098149948095124,0.025000006941359964,-0.03883545115280183,-1.5538044797717183,0.9603960396039604
25042006,dephasing,22,41,1.1420463221744133,0.053899929216443127,3.760720290303438e-15,0.3212180585908259,-0.32121805859082214,5.337527689125604,5.244451222709267,0.09307646641633749,1.505001740361909,2.9212442910141845,-1.4162425506522756,0.056086522807358596,0.006423633097361159,0.04966288970999744,95.16595827233769,816.4306932261896,-721.264734953852,26.83357186415649,454.76512228169406,-427.93155041753755,0.00022886743784678032,0.16409831333307956,0.0001584873633206918,0.9350356927319856,0.0,0.5558556645340165,-0.007512448125666538,0.2610409099821376,4.393973404796358,-0.010041619228426002,0.24650414390853798,0.1381371012658445,0.02785239613396878,0.10836704264269348,3.8907418798075617,0.009900990099009901
