seed,family,g_minus,g_plus,E_abs,prominence,real_pvp,null_pvp,delta_pvp,real_pvq2,null_pvq2,delta_pvq2,real_sigma,null_sigma,delta_sigma,real_gap,null_gap,delta_gap,real_pvq2_over_gap,null_pvq2_over_gap,delta_pvq2_over_gap,real_sigma_over_gap,null_sigma_over_gap,delta_sigma_over_gap,real_pvq2_asym,null_pvq2_asym,real_sigma_asym,null_sigma_asym,local_real_pvq2,local_real_sigma,local_real_gap,local_delta_pvq2,local_delta_sigma,local_delta_gap,q_gap1,q_gap3_mean,q_gap5_mean,q_density_eta,q_weight_near,q_weighted_abs_g,q_weighted_g2,q_weighted_invabs,q_effective_n
25042000,dephasing,31,32,0.04659378773055879,0.07724022316920326,7.177215251701742e-15,0.1778649622103633,-0.1778649622103561,3.6141953508772553,3.493498527283504,0.12069682359375111,11.38944813561832,16.424107048544755,-5.034658912926435,0.0020066002786213698,1.2455165365958532e-05,0.0019941451132554112,1801.1536175806673,280485.92087196663,-278684.767254386,5675.992501826729,1318658.2888280086,-1312982.2963261819,2.930988785010413e-14,0.01853967238351384,3.019806626980426e-14,0.07058002250258255,-0.0014912474851205282,-0.0021660240322560753,-2.8102520310824275e-16,0.02802594235710476,0.8353710125574239,6.327751695300518e-05,0.0020066002786213698,0.0020066002786216417,0.006449032681503196,810510.8059598147,1.797530727310126e-05,23.448313732838976,239.6363992244261,23.450388380021423,11.120542269282792
25042000,dephasing,30,33,0.04860038800918044,0.17832249408455741,7.463674318283652e-15,0.17623740698699505,-0.1762374069869876,3.615686598362376,3.5230157171257295,0.09267088123664635,11.391614159650576,17.261644085134435,-5.870029925483859,0.002006600278621651,7.573268231924474e-05,0.001930867596302406,1801.896788754569,46519.09333244997,-44717.196543695405,5677.0719515077335,227928.59775346963,-222251.5258019619,2.2648549702353193e-14,0.007354960652411702,1.7763568394002505e-14,5.141993230949518,0.0010561833516575803,1.9351310542178517,1.8102773265622416e-05,-0.03193644993561784,-1.9923553079899987,-9.63049922102048e-06,0.002006600278621651,0.0020066002786216924,0.006047712625778843,812746.3323804426,1.7882672227689877e-05,23.440262751955018,239.51667039649436,23.442336624461092,11.123141319050372
25042000,dephasing,29,34,0.0708125500235878,0.12307328643041532,4.8039880403380274e-15,0.21126021446737875,-0.21126021446737395,3.6150654791441807,3.4865476403934035,0.12851783875077727,7.523518075247129,10.244208397308414,-2.7206903220612855,0.001970394732090687,8.354365429924515e-05,0.0018868510777914418,1834.6909988479395,41733.24317254465,-39898.55217369671,3818.2796333729034,122621.0235024514,-118802.74386907849,1.7763568394002505e-15,0.11148837893754582,8.881784197001252e-15,8.39664646668195,-0.0005392107019832615,-1.9437322424787347,-1.810277326550272e-05,0.05488862174043474,6.780400456379523,0.00010012120960932111,0.001970394732090687,0.0019703947320909116,0.006018748188554215,835799.0768136374,5.421336328862167e-05,15.948682894302166,114.4748048279573,15.951705823091903,11.163631289247668
25042000,dephasing,28,35,0.07278294475567891,0.16668438762154633,5.626883243713168e-15,0.2559288575315789,-0.2559288575315733,3.615522781329952,3.5609352285459135,0.054587552784038706,7.542886475801149,20.675038107198905,-13.132151631397756,0.0019703947320907286,0.0003278025920288932,0.0016425921400618354,1834.92308543356,10863.047807236511,-9028.124721802951,3828.1093391868803,63071.61264111225,-59243.503301925375,4.440892098500626e-15,0.013357706282527193,3.552713678800501e-15,1.7314348451000257,0.13955972587572774,3.062399498072123,-0.00043188306742332136,0.0682866655357286,-2.856955319707934,-0.0005132446304314843,0.0019703947320907286,0.001970394732090923,0.0064128271349724215,833529.3167919539,5.4302534805971294e-05,15.9429060997107,114.38672457446691,15.945928434533798,11.136354926231053
25042000,dephasing,27,36,0.2619864687735262,-0.7513041974518528,1.0558583769630626e-14,0.2097016697564451,-0.20970166975643456,3.336860631764268,3.492776696018425,-0.15591606425415705,1.437455880210922,19.26715818152928,-17.829702301318356,0.002834160866937413,0.0004093384037422154,0.0024248224631951976,1177.371641352903,8532.736396309478,-7355.364754956575,507.1892343797102,47069.021634390665,-46561.83240001096,8.881784197001252e-15,0.17781928382162082,2.531308496145357e-14,7.549471321284528,-0.138849841028593,-3.5618980677101204,0.0004318830674234532,-0.17127283805753368,-6.143665630132242,0.0004174718956812748,0.002834160866937413,0.0028341608669375518,0.006111123190158312,462423.98274399724,0.003403582812582787,6.146832419451311,340.2448566533764,6.210468675472846,10.351058406780698
25042000,dephasing,26,37,0.26482062964046377,-0.5857374243724034,1.0962877492695e-14,0.21409773809671512,-0.21409773809670415,3.33589816425577,3.3597721694330556,-0.02387400517728544,2.455821420040935,12.695743131015409,-10.239921710974473,0.002834160866937191,0.0004620518719711808,0.00237210899496601,1177.032046124042,7271.417720048999,-6094.385673924958,866.5074197763805,27476.87846573051,-26610.371045954133,4.884981308350689e-15,0.1679330037265121,1.865174681370263e-14,2.2339548540601353,0.009913117538542515,1.1304090146717916,-0.00016599331143449247,0.09837134746555165,2.6030463874681207,-0.00022527300699125286,0.002834160866937191,0.0028341608669375335,0.005544291016770803,468926.48282473406,0.0033553077149299894,6.1454917555924595,340.25680252522307,6.209128571017953,10.262834894722047
25042000,dephasing,25,38,0.2812054412565677,-0.46029967445888387,1.3642816413638831e-14,0.24312813521421847,-0.24312813521420482,3.3151094616701875,3.4036841027017046,-0.08857464103151713,1.213368930527365,9.069602826094194,-7.856233895566829,0.003166147489805954,0.00039620594908662543,0.0027699415407193284,1047.0483362963496,8590.694083590179,-7543.645747293829,383.2319670621944,22891.132369421437,-22507.900402359242,7.993605777301127e-15,0.22164876683259394,4.063416270128073e-14,1.9823943994403752,-0.010176631628967758,-1.2002006515798729,0.0001659933114343537,-0.016778433860767272,4.438970190538219,9.690160918326973e-06,0.003166147489805954,0.003166147489806259,0.0058098803150658015,389208.94843854953,0.004174551018534961,6.0517542282795445,353.4038701294865,6.110153827515914,10.247330173947105
25042000,dephasing,24,39,0.2843715887463742,-0.547517826057768,1.3702697825721934e-14,0.24052283137487962,-0.2405228313748659,3.3146740223425404,3.4343924315067547,-0.11971840916421428,2.371317744173541,16.721804205409164,-14.350486461235622,0.0031661474898060094,1.775372517001661e-05,0.0031483937646359927,1046.9108065921564,193446.29921989163,-192399.3884132995,748.959974798531,941875.8060787036,-941126.8461039051,7.549516567451064e-15,0.014015180186511156,4.3520742565306136e-14,8.44887571504004,0.06846518665663925,0.7662062103013432,-0.001443266297549109,0.07729606437342174,-6.527424648346264,-0.001188647170419041,0.0031661474898060094,0.0031661474898062314,0.00644310981302707,381958.33969540795,0.00422786348577508,6.0508116311253755,353.41587683614074,6.109211828152984,10.21164896584627
25042000,dephasing,23,40,0.6293356210701316,0.16502413161884677,1.0188720288469437e-14,0.19871492827138224,-0.19871492827137205,3.1773082097016143,3.482762515745369,-0.3054543060437549,1.9968541372170305,9.78674386742892,-7.789889730211889,0.006052680084904283,0.0001485397555135437,0.005904140329390739,524.9423668741383,23446.669234808418,-22921.72686793428,329.91238743929233,65886.36041303148,-65556.44802559218,3.1086244689504383e-15,0.1410559254085273,7.971401316808624e-14,0.9195366102512672,-0.06887827211494679,-0.6741759214282999,0.0014432662975490812,-0.07449577765127002,5.250754000777701,0.0017842538466333324,0.006052680084904283,0.00605268008490456,0.009447843759245034,118810.53457042066,0.0324117112382233,7.944752862590203,813.4054028986059,8.012379536884355,11.529758774350267
25042000,dephasing,22,41,0.6353883011550364,0.6326899225480218,1.0073809490123083e-14,0.31381606276075835,-0.3138160627607483,3.177698941290582,3.5198975889113373,-0.34219864762075547,2.97074237311712,14.701543373860677,-11.730801000743558,0.006052680084904394,0.0009613008840255732,0.0050913792008788206,525.0069220106114,3661.5982023976776,-3136.591280387066,490.81437172373614,15293.383807467273,-14802.569435743537,0.0,0.15267890202385725,1.212363542890671e-13,6.765500822133378,-0.0019073797813780047,0.990580316578993,-0.0001728959662845586,-0.11999191926071284,-3.1063107536315453,-0.000982261545414892,0.006052680084904394,0.006052680084904524,0.008237307742264078,127804.74653008673,0.030904754606478374,7.955955198753944,813.7882971753022,8.023586635555603,11.578361888567327
